"dataset_notice","customer_id","full_name","phone_number","bank_name","account_number","upi_id","profile_image_url","balance","upi_pin","age_group","digital_literacy","average_tx_amount","normal_hours","known_beneficiaries"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C137","Dev Training 137","+91 98036 00137","Apex Global Bank","XXXX-XXXX-4836","devtraining137@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c137","INR 46,232.00","006228","31-45","Basic","INR 3,128.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C138","Tara Demo 138","+91 98037 00138","Apex Global Bank","XXXX-XXXX-4837","tarademo138@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c138","INR 47,169.00","0629","46-60","Advanced","INR 3,201.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C139","Ishaan Example 139","+91 98038 00139","Apex Global Bank","XXXX-XXXX-4838","ishaanexample139@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c139","INR 48,106.00","006574","61-75","Moderate","INR 3,274.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C140","Naina Sandbox 140","+91 98039 00140","Apex Global Bank","XXXX-XXXX-4839","nainasandbox140@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c140","INR 49,043.00","0663","18-30","Basic","INR 3,347.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C141","Reyansh Iyer 141","+91 98040 00141","Apex Global Bank","XXXX-XXXX-4840","reyanshiyer141@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c141","INR 49,980.00","006920","31-45","Advanced","INR 3,420.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C142","Aditi Test 142","+91 98041 00142","Apex Global Bank","XXXX-XXXX-4841","adititest142@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c142","INR 50,917.00","0697","46-60","Moderate","INR 3,493.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C143","Neil Prototype 143","+91 98042 00143","Apex Global Bank","XXXX-XXXX-4842","neilprototype143@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c143","INR 51,854.00","007266","61-75","Basic","INR 3,566.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C144","Mira Fictional 144","+91 98043 00144","Apex Global Bank","XXXX-XXXX-4843","mirafictional144@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c144","INR 52,791.00","0731","18-30","Advanced","INR 3,639.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C145","Yash Sample 145","+91 98044 00145","Apex Global Bank","XXXX-XXXX-4844","yashsample145@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c145","INR 53,728.00","007612","31-45","Moderate","INR 3,712.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C146","Saanvi Mock 146","+91 98045 00146","Apex Global Bank","XXXX-XXXX-4845","saanvimock146@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c146","INR 54,665.00","0765","46-60","Basic","INR 3,785.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C147","Advik Training 147","+91 98046 00147","Apex Global Bank","XXXX-XXXX-4846","adviktraining147@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c147","INR 55,602.00","007958","61-75","Advanced","INR 3,858.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C148","Riya Demo 148","+91 98047 00148","Apex Global Bank","XXXX-XXXX-4847","riyademo148@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c148","INR 56,539.00","0799","18-30","Moderate","INR 3,931.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C149","Karan Example 149","+91 98048 00149","Apex Global Bank","XXXX-XXXX-4848","karanexample149@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c149","INR 57,476.00","008304","31-45","Basic","INR 4,004.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C150","Pooja Sandbox 150","+91 98049 00150","Apex Global Bank","XXXX-XXXX-4849","poojasandbox150@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c150","INR 58,413.00","0833","46-60","Advanced","INR 4,077.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C151","Ramaswamy Iyer 151","+91 98050 00151","Apex Global Bank","XXXX-XXXX-4850","ramaswamyiyer151@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c151","INR 59,350.00","008650","61-75","Moderate","INR 4,150.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C152","Aarav Test 152","+91 98051 00152","Apex Global Bank","XXXX-XXXX-4851","aaravtest152@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c152","INR 60,287.00","0867","18-30","Basic","INR 4,223.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C153","Diya Prototype 153","+91 98052 00153","Apex Global Bank","XXXX-XXXX-4852","diyaprototype153@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c153","INR 61,224.00","008996","31-45","Advanced","INR 4,296.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C154","Kabir Fictional 154","+91 98053 00154","Apex Global Bank","XXXX-XXXX-4853","kabirfictional154@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c154","INR 62,161.00","0901","46-60","Moderate","INR 4,369.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C155","Meera Sample 155","+91 98054 00155","Apex Global Bank","XXXX-XXXX-4854","meerasample155@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c155","INR 63,098.00","009342","61-75","Basic","INR 4,442.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C156","Arjun Mock 156","+91 98055 00156","Apex Global Bank","XXXX-XXXX-4855","arjunmock156@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c156","INR 64,035.00","0935","18-30","Advanced","INR 4,515.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C157","Anaya Training 157","+91 98056 00157","Apex Global Bank","XXXX-XXXX-4856","anayatraining157@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c157","INR 64,972.00","009688","31-45","Moderate","INR 4,588.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C158","Vihaan Demo 158","+91 98057 00158","Apex Global Bank","XXXX-XXXX-4857","vihaandemo158@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c158","INR 65,909.00","0969","46-60","Basic","INR 4,661.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C159","Isha Example 159","+91 98058 00159","Apex Global Bank","XXXX-XXXX-4858","ishaexample159@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c159","INR 66,846.00","010034","61-75","Advanced","INR 4,734.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C160","Rohan Sandbox 160","+91 98059 00160","Apex Global Bank","XXXX-XXXX-4859","rohansandbox160@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c160","INR 67,783.00","1003","18-30","Moderate","INR 4,807.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C161","Kavya Iyer 161","+91 98060 00161","Apex Global Bank","XXXX-XXXX-4860","kavyaiyer161@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c161","INR 68,720.00","010380","31-45","Basic","INR 4,880.00","08:00-21:00","anand@apexbank|Anand (Son);tneb@trustpay|TNEB Electricity;nilgiris@trustpay|Nilgiris Supermarket"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C162","Dev Test 162","+91 98061 00162","Apex Global Bank","XXXX-XXXX-4861","devtest162@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c162","INR 69,657.00","1037","46-60","Advanced","INR 4,953.00","07:00-22:00","family@trustpay|Family Contact;utility@trustpay|Utility Payment;grocers@trustpay|Demo Grocers"
"SYNTHETIC TEST DATA - NOT A REAL PERSON, ACCOUNT, OR PIN","C163","Tara Prototype 163","+91 98062 00163","Apex Global Bank","XXXX-XXXX-4862","taraprototype163@trustpay","https://api.dicebear.com/9.x/initials/svg?seed=trustpay-c163","INR 70,594.00","010726","61-75","Moderate","INR 5,026.00","09:00-19:00","clinic@trustpay|City Care Clinic;rent@trustpay|Rental Account;mobile@trustpay|Mobile Recharge"
