"dataset_notice","client_id","full_name","date_of_birth","home_address","phone_number","email_address","government_id_passport","government_id_tax","job_title","employer_name","annual_income_inr","source_of_money","credit_score","credit_history","other_assets_inr","outstanding_loans_inr","account_balance_inr","deposit_withdrawal_history","transfer_history","card_purchase_locations","payees_merchants","ip_address","device_type","mobile_app_usage_habits","last_login_datetime","app_location_data"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0011","Dev Demo 11","1959-11-07","111 Example Lane, Demo Nagar, Test State 000000","+91-00000-00011","client0011@example.invalid","SYN-PPT-000011","SYN-TAX-000011","Store Manager","Sample Manufacturing","550300","Synthetic salary income","687","Synthetic: satisfactory repayment pattern","180933","25399","66197","2026-11-07 Deposit: Synthetic salary INR 45858; 2026-11-17 Withdrawal: Synthetic ATM INR 907","2026-11-07 Sent INR 1413 to B003 - Merchant Settlement (Synthetic); 2026-11-12 Received INR 1319 from Synthetic sender","Mock Electronics, Demo Sector 11; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.11","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-28 19:17:00 IST","SIMULATED: Demo Zone 11, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0012","Tara Example 12","1960-12-10","112 Example Lane, Demo Nagar, Test State 000000","+91-00000-00012","client0012@example.invalid","SYN-PPT-000012","SYN-TAX-000012","Nurse","Test Education Trust","567600","Synthetic business income","694","Synthetic: satisfactory repayment pattern","192836","27708","71124","2026-12-10 Deposit: Synthetic salary INR 47300; 2026-12-20 Withdrawal: Synthetic ATM INR 944","2026-12-10 Sent INR 1496 to B001 - Family Transfer (Synthetic); 2026-12-15 Received INR 1348 from Synthetic sender","Sandbox Market, Demo Sector 12; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.12","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-05 08:24:00 IST","SIMULATED: Demo Zone 12, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0013","Ishaan Sandbox 13","1961-01-13","113 Example Lane, Demo Nagar, Test State 000000","+91-00000-00013","client0013@example.invalid","SYN-PPT-000013","SYN-TAX-000013","Software Analyst","Sandbox Logistics","584900","Synthetic salary income","701","Synthetic: satisfactory repayment pattern","204739","30017","76051","2026-01-13 Deposit: Synthetic salary INR 48742; 2026-01-23 Withdrawal: Synthetic ATM INR 981","2026-01-13 Sent INR 1579 to B002 - Utility Account (Synthetic); 2026-01-18 Received INR 1377 from Synthetic sender","Demo Grocers, Demo Sector 13; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.13","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-10 09:31:00 IST","SIMULATED: Demo Zone 13, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0014","Naina Fictional 14","1962-02-16","114 Example Lane, Demo Nagar, Test State 000000","+91-00000-00014","client0014@example.invalid","SYN-PPT-000014","SYN-TAX-000014","Sales Associate","Prototype Systems","602200","Synthetic salary income","708","Synthetic: satisfactory repayment pattern","216642","32326","80978","2026-02-16 Deposit: Synthetic salary INR 50183; 2026-02-26 Withdrawal: Synthetic ATM INR 1018","2026-02-16 Sent INR 1662 to B003 - Merchant Settlement (Synthetic); 2026-02-21 Received INR 1406 from Synthetic sender","Sample Pharmacy, Demo Sector 14; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.14","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-15 10:38:00 IST","SIMULATED: Demo Zone 14, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0015","Reyansh Test 15","1963-03-19","115 Example Lane, Demo Nagar, Test State 000000","+91-00000-00015","client0015@example.invalid","SYN-PPT-000015","SYN-TAX-000015","Operations Lead","Example Foods","619500","Synthetic salary income","715","Synthetic: satisfactory repayment pattern","228545","34635","85905","2026-03-19 Deposit: Synthetic salary INR 51625; 2026-03-02 Withdrawal: Synthetic ATM INR 1055","2026-03-19 Sent INR 1745 to B001 - Family Transfer (Synthetic); 2026-03-24 Received INR 1435 from Synthetic sender","Example Fuel Station, Demo Sector 15; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.15","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-20 11:45:00 IST","SIMULATED: Demo Zone 15, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0016","Aditi Prototype 16","1964-04-22","116 Example Lane, Demo Nagar, Test State 000000","+91-00000-00016","client0016@example.invalid","SYN-PPT-000016","SYN-TAX-000016","Self-employed Consultant","Mock Finance Services","636800","Synthetic business income","722","Synthetic: satisfactory repayment pattern","240448","36944","90832","2026-04-22 Deposit: Synthetic salary INR 53067; 2026-04-05 Withdrawal: Synthetic ATM INR 1092","2026-04-22 Sent INR 1828 to B002 - Utility Account (Synthetic); 2026-04-27 Received INR 1464 from Synthetic sender","Test Cafe, Demo Sector 16; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.16","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-25 12:52:00 IST","SIMULATED: Demo Zone 16, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0017","Neil Simulated 17","1965-05-25","117 Example Lane, Demo Nagar, Test State 000000","+91-00000-00017","client0017@example.invalid","SYN-PPT-000017","SYN-TAX-000017","Accounts Executive","Example Retail Ltd","654100","Synthetic salary income","729","Synthetic: satisfactory repayment pattern","252351","39253","95759","2026-05-25 Deposit: Synthetic salary INR 54508; 2026-05-08 Withdrawal: Synthetic ATM INR 1129","2026-05-25 Sent INR 1911 to B003 - Merchant Settlement (Synthetic); 2026-05-03 Received INR 1493 from Synthetic sender","Mock Electronics, Demo Sector 17; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.17","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-02 13:59:00 IST","SIMULATED: Demo Zone 17, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0018","Mira Sample 18","1966-06-01","118 Example Lane, Demo Nagar, Test State 000000","+91-00000-00018","client0018@example.invalid","SYN-PPT-000018","SYN-TAX-000018","Teacher","Demo Health Services","671400","Synthetic salary income","736","Synthetic: satisfactory repayment pattern","264254","41562","100686","2026-06-01 Deposit: Synthetic salary INR 55950; 2026-06-11 Withdrawal: Synthetic ATM INR 1166","2026-06-01 Sent INR 1994 to B001 - Family Transfer (Synthetic); 2026-06-06 Received INR 1522 from Synthetic sender","Sandbox Market, Demo Sector 18; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.18","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-07 14:06:00 IST","SIMULATED: Demo Zone 18, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0019","Yash Mock 19","1967-07-04","119 Example Lane, Demo Nagar, Test State 000000","+91-00000-00019","client0019@example.invalid","SYN-PPT-000019","SYN-TAX-000019","Store Manager","Sample Manufacturing","688700","Synthetic salary income","743","Synthetic: satisfactory repayment pattern","276157","43871","105613","2026-07-04 Deposit: Synthetic salary INR 57392; 2026-07-14 Withdrawal: Synthetic ATM INR 1203","2026-07-04 Sent INR 2077 to B002 - Utility Account (Synthetic); 2026-07-09 Received INR 1551 from Synthetic sender","Demo Grocers, Demo Sector 19; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.19","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-12 15:13:00 IST","SIMULATED: Demo Zone 19, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0020","Saanvi Training 20","1968-08-07","120 Example Lane, Demo Nagar, Test State 000000","+91-00000-00020","client0020@example.invalid","SYN-PPT-000020","SYN-TAX-000020","Nurse","Test Education Trust","706000","Synthetic business income","750","Synthetic: strong repayment pattern","288060","46180","110540","2026-08-07 Deposit: Synthetic salary INR 58833; 2026-08-17 Withdrawal: Synthetic ATM INR 1240","2026-08-07 Sent INR 2160 to B003 - Merchant Settlement (Synthetic); 2026-08-12 Received INR 1580 from Synthetic sender","Sample Pharmacy, Demo Sector 20; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.20","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-17 16:20:00 IST","SIMULATED: Demo Zone 20, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0021","Advik Demo 21","1969-09-10","121 Example Lane, Demo Nagar, Test State 000000","+91-00000-00021","client0021@example.invalid","SYN-PPT-000021","SYN-TAX-000021","Software Analyst","Sandbox Logistics","723300","Synthetic salary income","757","Synthetic: strong repayment pattern","299963","48489","115467","2026-09-10 Deposit: Synthetic salary INR 60275; 2026-09-20 Withdrawal: Synthetic ATM INR 1277","2026-09-10 Sent INR 2243 to B001 - Family Transfer (Synthetic); 2026-09-15 Received INR 1609 from Synthetic sender","Example Fuel Station, Demo Sector 21; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.21","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-22 17:27:00 IST","SIMULATED: Demo Zone 1, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0022","Riya Example 22","1970-10-13","122 Example Lane, Demo Nagar, Test State 000000","+91-00000-00022","client0022@example.invalid","SYN-PPT-000022","SYN-TAX-000022","Sales Associate","Prototype Systems","740600","Synthetic salary income","764","Synthetic: strong repayment pattern","311866","50798","120394","2026-10-13 Deposit: Synthetic salary INR 61717; 2026-10-23 Withdrawal: Synthetic ATM INR 1314","2026-10-13 Sent INR 2326 to B002 - Utility Account (Synthetic); 2026-10-18 Received INR 1638 from Synthetic sender","Test Cafe, Demo Sector 22; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.22","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-27 18:34:00 IST","SIMULATED: Demo Zone 2, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0023","Karan Sandbox 23","1971-11-16","123 Example Lane, Demo Nagar, Test State 000000","+91-00000-00023","client0023@example.invalid","SYN-PPT-000023","SYN-TAX-000023","Operations Lead","Example Foods","757900","Synthetic salary income","771","Synthetic: strong repayment pattern","323769","53107","125321","2026-11-16 Deposit: Synthetic salary INR 63158; 2026-11-26 Withdrawal: Synthetic ATM INR 1351","2026-11-16 Sent INR 2409 to B003 - Merchant Settlement (Synthetic); 2026-11-21 Received INR 1667 from Synthetic sender","Mock Electronics, Demo Sector 23; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.23","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-04 19:41:00 IST","SIMULATED: Demo Zone 3, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0024","Pooja Fictional 24","1972-12-19","124 Example Lane, Demo Nagar, Test State 000000","+91-00000-00024","client0024@example.invalid","SYN-PPT-000024","SYN-TAX-000024","Self-employed Consultant","Mock Finance Services","775200","Synthetic business income","778","Synthetic: strong repayment pattern","335672","55416","130248","2026-12-19 Deposit: Synthetic salary INR 64600; 2026-12-02 Withdrawal: Synthetic ATM INR 1388","2026-12-19 Sent INR 2492 to B001 - Family Transfer (Synthetic); 2026-12-24 Received INR 1696 from Synthetic sender","Sandbox Market, Demo Sector 24; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.24","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-09 08:48:00 IST","SIMULATED: Demo Zone 4, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0025","Samar Test 25","1973-01-22","125 Example Lane, Demo Nagar, Test State 000000","+91-00000-00025","client0025@example.invalid","SYN-PPT-000025","SYN-TAX-000025","Accounts Executive","Example Retail Ltd","792500","Synthetic salary income","785","Synthetic: strong repayment pattern","347575","57725","135175","2026-01-22 Deposit: Synthetic salary INR 66042; 2026-01-05 Withdrawal: Synthetic ATM INR 1425","2026-01-22 Sent INR 2575 to B002 - Utility Account (Synthetic); 2026-01-27 Received INR 1725 from Synthetic sender","Demo Grocers, Demo Sector 25; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.25","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-14 09:55:00 IST","SIMULATED: Demo Zone 5, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0026","Aarav Prototype 26","1974-02-25","126 Example Lane, Demo Nagar, Test State 000000","+91-00000-00026","client0026@example.invalid","SYN-PPT-000026","SYN-TAX-000026","Teacher","Demo Health Services","809800","Synthetic salary income","792","Synthetic: strong repayment pattern","359478","60034","140102","2026-02-25 Deposit: Synthetic salary INR 67483; 2026-02-08 Withdrawal: Synthetic ATM INR 1462","2026-02-25 Sent INR 2658 to B003 - Merchant Settlement (Synthetic); 2026-02-03 Received INR 1754 from Synthetic sender","Sample Pharmacy, Demo Sector 1; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Sample Pharmacy","198.51.100.26","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-19 10:02:00 IST","SIMULATED: Demo Zone 6, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0027","Diya Simulated 27","1975-03-01","127 Example Lane, Demo Nagar, Test State 000000","+91-00000-00027","client0027@example.invalid","SYN-PPT-000027","SYN-TAX-000027","Store Manager","Sample Manufacturing","827100","Synthetic salary income","799","Synthetic: strong repayment pattern","371381","62343","145029","2026-03-01 Deposit: Synthetic salary INR 68925; 2026-03-11 Withdrawal: Synthetic ATM INR 1499","2026-03-01 Sent INR 2741 to B001 - Family Transfer (Synthetic); 2026-03-06 Received INR 1783 from Synthetic sender","Example Fuel Station, Demo Sector 2; Example Metro, Test District","B001 - Family Transfer (Synthetic); Example Fuel Station","198.51.100.27","Synthetic iOS test device","Synthetic: daily balance check, monthly transfer","2026-08-24 11:09:00 IST","SIMULATED: Demo Zone 7, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0028","Kabir Sample 28","1976-04-04","128 Example Lane, Demo Nagar, Test State 000000","+91-00000-00028","client0028@example.invalid","SYN-PPT-000028","SYN-TAX-000028","Nurse","Test Education Trust","844400","Synthetic business income","806","Synthetic: strong repayment pattern","383284","64652","149956","2026-04-04 Deposit: Synthetic salary INR 70367; 2026-04-14 Withdrawal: Synthetic ATM INR 1536","2026-04-04 Sent INR 2824 to B002 - Utility Account (Synthetic); 2026-04-09 Received INR 1812 from Synthetic sender","Test Cafe, Demo Sector 3; Example Metro, Test District","B002 - Utility Account (Synthetic); Test Cafe","198.51.100.28","Synthetic Android test device","Synthetic: weekly balance check, card payment","2026-08-01 12:16:00 IST","SIMULATED: Demo Zone 8, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0029","Meera Mock 29","1977-05-07","129 Example Lane, Demo Nagar, Test State 000000","+91-00000-00029","client0029@example.invalid","SYN-PPT-000029","SYN-TAX-000029","Software Analyst","Sandbox Logistics","861700","Synthetic salary income","813","Synthetic: strong repayment pattern","395187","66961","154883","2026-05-07 Deposit: Synthetic salary INR 71808; 2026-05-17 Withdrawal: Synthetic ATM INR 1573","2026-05-07 Sent INR 2907 to B003 - Merchant Settlement (Synthetic); 2026-05-12 Received INR 1841 from Synthetic sender","Mock Electronics, Demo Sector 4; Example Metro, Test District","B003 - Merchant Settlement (Synthetic); Mock Electronics","198.51.100.29","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-06 13:23:00 IST","SIMULATED: Demo Zone 9, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0030","Arjun Training 30","1978-06-10","130 Example Lane, Demo Nagar, Test State 000000","+91-00000-00030","client0030@example.invalid","SYN-PPT-000030","SYN-TAX-000030","Sales Associate","Prototype Systems","879000","Synthetic salary income","820","Synthetic: strong repayment pattern","407090","69270","159810","2026-06-10 Deposit: Synthetic salary INR 73250; 2026-06-20 Withdrawal: Synthetic ATM INR 1610","2026-06-10 Sent INR 2990 to B001 - Family Transfer (Synthetic); 2026-06-15 Received INR 1870 from Synthetic sender","Sandbox Market, Demo Sector 5; Example Metro, Test District","B001 - Family Transfer (Synthetic); Sandbox Market","198.51.100.30","Synthetic Android test device","Synthetic: daily balance check, monthly transfer","2026-08-11 14:30:00 IST","SIMULATED: Demo Zone 10, Example City, Test State"
"SYNTHETIC TEST DATA â€” NOT A REAL PERSON OR ACCOUNT","SYN-CL-0031","Anaya Demo 31","1979-07-13","131 Example Lane, Demo Nagar, Test State 000000","+91-00000-00031","client0031@example.invalid","SYN-PPT-000031","SYN-TAX-000031","Operations Lead","Example Foods","896300","Synthetic salary income","827","Synthetic: strong repayment pattern","418993","71579","164737","2026-07-13 Deposit: Synthetic salary INR 74692; 2026-07-23 Withdrawal: Synthetic ATM INR 1647","2026-07-13 Sent INR 3073 to B002 - Utility Account (Synthetic); 2026-07-18 Received INR 1899 from Synthetic sender","Demo Grocers, Demo Sector 6; Example Metro, Test District","B002 - Utility Account (Synthetic); Demo Grocers","198.51.100.31","Synthetic iOS test device","Synthetic: weekly balance check, card payment","2026-08-16 15:37:00 IST","SIMULATED: Demo Zone 11, Example City, Test State"
